"gene_id" "Cu_deficient" "Cu_deficient_crr1" "Cu_deficient_crr12" "Cu_sufficient" "Fe_deficient_Min" "Fe_limited_Min" "Fe_repleted_Min" "H2O2_t0" "H2O2_t05" "H2O2_t1" "N_deprived" "N_repleted" "S_deprived" "S_deprived_ars11" "S_repleted" "S_repleted_ars11" "singlet_4A" "singlet_sor1" "TAP_recipe1" "TAP_recipe2"
"Cre01.g005450" 30.9757 34.8319 25.9115 24.9524 24.8999 32.7236 26.8268 21.6958 28.3439 33.507 11.3714 17.9515 33.2338 28.1223 27.6544 29.2165 13.3043 12.643 18.7853 14.4739
"Cre01.g005500" 7.02039 10.1732 13.7222 6.89707 4.70735 4.87165 4.8918 4.64223 4.77937 5.16458 9.35398 9.27578 13.8245 9.8484 9.61865 13.4957 12.5426 19.1373 5.98446 6.7549
"g134" 0.389416 0.397955 0.300889 0.188322 0.142321 0.21905 0.242648 0.485036 0.481391 0.512812 0.123244 0 0.0888922 0 0 0.425426 0.24884 0.112467 0.362319 0
"Cre01.g005650" 6.08878 3.75632 5.79914 5.64363 1.76319 2.07939 2.15302 2.43722 1.7724 2.1787 2.87912 2.51489 3.83773 3.61908 3.34733 3.34154 3.82285 4.56054 3.38566 5.45525
"g137" 0.734149 2.08617 1.00294 0.907468 1.37765 1.13124 1.31173 1.18969 3.45259 3.92535 0.828043 1.0118 1.01599 1.96241 0.786587 0.906695 0.0670747 0.0873983 0.0815152 0.302823
"Cre01.g005850" 35.8538 15.3096 41.5934 34.1053 16.3467 89.2192 18.0594 54.7422 59.4512 142.164 6.42705 25.4922 8.73083 9.98177 29.1988 25.9029 3.47825 11.7805 78.9912 74.9416
"Cre01.g005950" 43.06 33.5836 25.0502 45.2999 19.11 10.2868 21.0136 33.3264 27.723 21.2366 12.1509 34.9382 21.6907 17.2537 35.7861 39.2865 11.6629 27.3078 21.2095 20.6569
"Cre01.g006050" 5.95643 5.22204 5.63266 5.31146 9.22425 9.09613 8.8267 6.0101 5.60131 4.88928 8.38756 5.33264 8.18642 5.43093 4.99203 7.55865 7.6403 7.87165 4.40711 4.67005
"g148" 15.2815 10.76 10.7102 15.8366 17.355 14.539 19.837 16.3579 13.6709 11.1773 17.6751 12.6904 14.116 16.588 13.2024 8.72841 5.01294 6.89955 12.8843 12.1826
"g149" 0.754108 1.01468 0.709496 0.696649 0.480479 0.345626 0.427519 0.229473 0.216067 0.294259 0.76529 0.839387 1.44793 0.726543 0.820731 1.07123 6.39828 1.40527 0.883354 0.850218
"Cre01.g006450" 0.0796983 0.137068 0.188179 0.124072 0.240845 0.238854 0.29918 0.474729 0.370291 0.541565 0.554748 0.169322 0.301891 0.297931 0.133661 0.0989669 0.968552 1.24137 0.269344 0.194416
"g161" 0.0729599 0.0793435 0.0178996 0.0999258 0.0418735 0.0166392 0.0310907 0.100945 0.0592805 0.0494556 0.0221976 0.009599 0.0064914 0.00295248 0.00347836 0.010401 0.1629 0.0366643 0.0124183 0.0080991
"Cre01.g006600" 0.153386 0.19037 0.172986 0.220857 0.486917 0.68657 0.431651 0.345273 0.325756 0.461028 0.459499 0.186326 0.171711 0.135413 0.0552347 0.149156 16.2474 0.769078 0.0942984 0.397409
"g170" 0.425168 0.375869 0.458253 0.647389 0.24735 0.443356 0.46428 3.19156 2.56701 2.84915 0.326194 0.342636 0.326393 0.739785 0.50119 0.622145 4.86863 7.33068 3.18182 3.77964
"Cre01.g006700" 0.528174 0.527258 0.175143 0.764861 2.65464 3.1765 3.40222 3.00002 1.77799 2.78897 0.904709 0.995519 0.48003 0.572164 0.414328 1.13797 2.58507 3.68674 1.14407 0.911778
"Cre01.g006850" 6.78949 4.68597 6.09521 7.25151 14.4519 16.0281 17.4892 8.8 12.7329 13.4783 1.6774 4.37597 4.03934 5.25794 4.43944 4.30304 1.32424 4.5771 10.2517 8.88508
